CustomerNumber,CreditScore,City,Gender,Age,Home_Living_Since,Avg_Acc_Bal,Assets,First Loan,Co-applicant,Mon_Sal,Loan
1,619,Bangalore,Female,41,2,0,1,1,1,50674.44,1
2,608,Hyderabad,Female,40,1,41903.93,1,0,1,56271.29,0
3,502,Bangalore,Female,41,8,79830.4,3,1,0,56965.785,1
4,699,Bangalore,Female,38,1,0,2,0,0,46913.315,0
5,850,Hyderabad,Female,42,2,62755.41,1,1,1,39542.05,0
6,645,Hyderabad,Male,43,8,56877.89,2,1,0,74878.355,1
7,822,Bangalore,Male,49,7,0,2,1,1,5031.4,0
8,376,Chennai,Female,28,4,57523.37,4,1,0,59673.44,1
9,501,Bangalore,Male,43,4,71025.535,2,0,1,37470.25,0
10,684,Bangalore,Male,26,2,67301.94,1,1,1,35862.865,0
11,528,Bangalore,Male,30,6,51008.36,2,0,0,40090.56,0
12,497,Hyderabad,Male,23,3,0,2,1,0,38195.005,0
13,476,Bangalore,Female,33,10,0,2,1,0,13130.49,0
14,549,Bangalore,Female,24,5,0,2,0,0,95428.895,0
15,635,Hyderabad,Female,34,7,0,2,1,1,32975.825,0
16,616,Chennai,Male,44,3,71564.705,2,0,1,32163.63,0
17,653,Chennai,Male,57,1,66301.44,1,1,0,2548.835,1
18,549,Hyderabad,Female,23,9,0,2,1,1,7203.205,0
19,587,Hyderabad,Male,44,6,0,1,0,0,79342.405,0
20,726,Bangalore,Female,23,6,0,2,1,1,27362.015,0
21,732,Bangalore,Male,40,8,0,2,1,1,85443.085,0
22,636,Hyderabad,Female,31,8,0,2,1,0,69277.73,0
23,510,Hyderabad,Female,37,4,0,1,1,0,59456.765,1
24,669,Bangalore,Male,45,3,0,2,0,1,4243.875,0
25,846,Bangalore,Female,37,5,0,1,1,1,93808.08,0
26,577,Bangalore,Male,24,3,0,2,0,1,62254.145,0
27,756,Chennai,Male,35,2,68407.82,1,1,1,85020.975,0
28,571,Bangalore,Male,43,9,0,2,0,0,19216.675,0
29,574,Chennai,Female,42,3,70674.715,1,1,1,50093.715,0
30,411,Bangalore,Male,28,0,29848.585,2,1,1,26741.605,0
31,591,Hyderabad,Female,38,3,0,3,1,0,70234.69,1
32,533,Bangalore,Male,35,7,42655.85,1,0,1,78365.955,0
33,553,Chennai,Male,40,9,55056.27,2,0,0,40949.405,0
34,520,Hyderabad,Female,41,6,0,2,1,1,17205.275,0
35,722,Hyderabad,Female,28,9,0,2,1,1,71016.535,0
36,475,Bangalore,Female,44,0,67132.02,1,1,0,13911.495,1
37,490,Hyderabad,Male,30,3,72630.115,1,0,1,57033.385,0
38,804,Hyderabad,Male,32,7,38274.3,1,0,1,49226.725,0
39,850,Bangalore,Male,35,7,0,1,1,1,20406.45,0
40,582,Chennai,Male,40,6,35174.74,2,0,1,89037.02,0
41,472,Hyderabad,Male,39,4,0,1,1,0,35077.11,0
42,465,Bangalore,Female,50,8,61261.16,1,0,0,90648.825,1
43,556,Bangalore,Female,60,2,58709.675,1,1,1,47076.915,0
44,834,Bangalore,Female,48,2,65697.28,1,0,0,97182.88,1
45,660,Hyderabad,Female,60,5,77965.555,1,1,1,79169.195,0
46,776,Chennai,Female,31,4,54710.565,2,1,1,63258.73,0
47,829,Chennai,Female,26,9,56022.835,1,1,1,59854.105,1
48,637,Chennai,Female,38,9,68921.9,1,1,1,58811.4,1
49,550,Chennai,Male,37,2,51695.69,1,0,1,45439.065,0
50,776,Chennai,Female,36,2,51884.61,2,1,0,97049.56,0
51,698,Chennai,Male,43,10,58181.685,2,1,0,99029.58,0
52,585,Chennai,Male,35,5,73025.485,2,0,0,43212.285,0
53,788,Bangalore,Female,32,5,0,2,0,0,58489.095,0
54,655,Chennai,Male,40,8,62780.985,1,0,0,82020.47,1
55,601,Chennai,Male,41,1,49247.86,1,1,0,20007.38,1
56,619,Bangalore,Male,42,1,62605.96,1,1,1,56705.245,0
57,656,Bangalore,Male,44,5,63932.2,1,1,0,43553.785,0
58,725,Chennai,Male,18,0,37944.1,1,0,0,22806.875,0
59,511,Hyderabad,Female,65,4,0,1,1,0,821.555,1
60,614,Bangalore,Male,50,4,20342.96,1,1,1,23387.64,0
61,742,Chennai,Male,34,5,68428.5,1,0,0,42254.785,0
62,687,Chennai,Female,26,9,76164.44,2,0,0,63247.41,0
63,555,Hyderabad,Male,32,1,28042.345,2,0,0,89399.065,0
64,684,Hyderabad,Male,55,8,39353.58,1,1,1,49699.18,0
65,603,Chennai,Male,25,4,54583.185,1,1,1,46420.335,0
66,751,Chennai,Female,35,6,84915.73,2,1,1,13879.18,0
67,581,Chennai,Female,33,1,50816.52,1,1,0,55215.755,0
68,735,Chennai,Male,42,10,61590.005,2,1,1,98336.64,0
69,661,Chennai,Female,34,5,75362.765,2,0,1,56828.425,0
70,675,Bangalore,Female,20,8,49186.63,1,1,0,9101.5,0
71,738,Chennai,Male,57,2,66872.72,4,1,0,14186.93,1
72,813,Bangalore,Male,28,6,0,1,1,0,16976.935,0
73,657,Hyderabad,Female,36,0,81803.59,1,0,1,22101.775,0
74,604,Chennai,Female,24,5,78890.42,2,1,1,29213.405,0
75,519,Bangalore,Male,35,9,0,2,0,1,72781.2,0
76,735,Bangalore,Female,20,1,89359.095,2,1,0,11194,0
77,664,Bangalore,Male,54,8,0,2,1,1,69580.82,0
78,678,Bangalore,Female,31,9,0,1,1,1,74105.32,0
79,757,Hyderabad,Male,32,5,38626.61,1,0,1,97119.815,0
80,416,Chennai,Female,40,10,61094.83,2,1,0,49150.805,0
81,665,Bangalore,Female,33,1,48322.77,2,0,0,85706.83,0
82,777,Bangalore,Female,31,2,0,1,1,0,68229.095,1
83,543,Bangalore,Female,35,3,0,2,0,0,13009.795,0
84,506,Bangalore,Female,33,4,45153.81,1,1,1,79617.645,0
85,493,Bangalore,Female,45,4,0,2,1,0,953.83,0
86,652,Hyderabad,Female,74,10,0,2,1,1,57337.875,0
87,750,Hyderabad,Male,21,3,60840.91,1,1,0,64321.675,1
88,729,Bangalore,Male,29,9,0,2,1,0,75934.675,0
89,646,Bangalore,Female,45,4,0,3,1,0,46625.71,1
90,635,Chennai,Female,27,3,40811.835,2,1,1,78395.68,0
91,647,Hyderabad,Female,43,5,0,3,1,1,87102.61,1
92,808,Bangalore,Male,44,7,59313.275,2,1,0,73566.23,0
93,524,Bangalore,Female,35,10,0,2,1,0,54807.285,0
94,769,Bangalore,Male,28,8,0,2,1,1,86145.305,0
95,730,Hyderabad,Male,41,4,0,2,0,1,42991.235,0
96,515,Hyderabad,Male,34,10,88136.975,1,0,1,60638.89,0
97,773,Hyderabad,Male,40,9,51413.72,1,0,1,32297.625,0
98,814,Chennai,Male,28,8,48543.2,2,1,1,98638.065,0
99,710,Hyderabad,Male,21,8,0,2,0,0,49822.52,0
100,413,Bangalore,Male,33,9,0,2,0,0,3267.09,0
101,665,Bangalore,Female,39,6,0,1,1,1,80924.015,0
102,623,Bangalore,Female,43,6,0,2,0,0,83581.215,0
103,738,Bangalore,Male,30,9,41337.075,1,1,0,20985.36,0
104,528,Hyderabad,Male,35,7,0,2,1,0,30268.28,0
105,670,Hyderabad,Female,64,1,0,1,1,1,88827.84,1
106,622,Hyderabad,Female,45,4,53536.635,2,1,1,15492.295,1
107,582,Chennai,Male,31,1,44469.31,1,1,1,5027.265,0
108,785,Chennai,Female,35,2,49903.425,1,0,1,18488.26,0
109,605,Hyderabad,Male,32,5,75046.4,1,0,0,35931.395,0
110,479,Chennai,Male,34,9,46416.945,1,1,0,49724.93,1
111,685,Chennai,Male,29,3,45268.405,1,0,1,31541.44,0
112,538,Chennai,Male,38,7,54027.55,2,1,0,13615.63,0
113,562,Bangalore,Male,41,2,50119.175,1,0,0,43398.705,0
114,675,Hyderabad,Male,35,9,53095.275,1,0,1,11497.16,0
115,721,Chennai,Male,27,9,77237.77,2,0,1,50650.47,1
116,628,Chennai,Female,29,9,66175.645,2,1,1,37084.565,0
117,668,Chennai,Female,36,6,83932.2,1,1,0,57819.145,0
118,506,Bangalore,Female,40,1,0,2,1,0,15883.15,0
119,524,Chennai,Female,30,8,53909.315,1,1,0,99862.695,1
120,699,Chennai,Male,33,4,92586.905,2,1,0,60417.24,0
121,828,Bangalore,Male,33,8,64716.67,2,0,0,19065.885,0
122,674,Hyderabad,Male,38,6,60096.71,1,0,0,50065.475,0
123,656,Bangalore,Female,38,6,0,2,1,0,70534.94,0
124,684,Chennai,Female,47,10,63192.21,1,1,1,99064.68,0
125,625,Bangalore,Female,27,3,0,1,0,0,91823.205,0
126,432,Bangalore,Male,41,9,76301.725,1,1,0,55132.62,1
127,549,Bangalore,Female,51,1,0,1,0,1,4318.025,1
128,625,Chennai,Male,55,0,74253.62,1,1,0,23412.04,1
129,828,Bangalore,Female,40,7,0,2,1,0,85689.385,0
130,770,Bangalore,Male,23,9,50913.535,1,1,0,83628.175,0
131,758,Bangalore,Female,33,3,0,2,1,1,62113.08,0
132,795,Chennai,Female,32,9,65431.215,1,1,1,57467.605,0
133,687,Bangalore,Male,37,9,61285.435,1,1,1,17804.44,0
134,686,Bangalore,Male,24,1,0,2,0,1,8229.685,0
135,789,Chennai,Male,38,7,62414.23,2,1,1,62205.54,0
136,589,Chennai,Female,49,5,72447.525,2,1,1,17470.615,0
137,461,Chennai,Female,33,5,31831.965,1,0,1,83892.14,0
138,637,Bangalore,Male,39,2,66731.55,1,0,1,46582.67,0
139,584,Hyderabad,Female,47,2,106573.1,1,1,0,37580.625,1
140,579,Hyderabad,Female,34,1,64745.18,2,0,1,4295.415,1
141,756,Chennai,Male,43,10,68726.045,1,1,0,94771.95,0
142,663,Bangalore,Male,33,7,0,2,1,1,90213.62,0
143,682,Bangalore,Female,42,5,62925.965,1,1,1,96659.165,0
144,793,Hyderabad,Male,51,2,0,1,1,0,79561.91,1
145,691,Bangalore,Female,30,5,20457.775,1,1,0,63106.92,1
146,485,Hyderabad,Female,20,5,56578.61,1,1,1,27070.75,0
147,635,Hyderabad,Female,28,8,69148.47,2,1,0,70537.755,0
148,650,Bangalore,Male,36,5,53483.59,1,0,0,12247.515,0
149,735,Bangalore,Male,43,9,60340.815,1,1,0,37418.17,0
150,416,Bangalore,Male,31,0,0,2,0,1,439.435,0
151,754,Hyderabad,Female,31,7,0,2,1,0,44760.375,0
152,535,Bangalore,Female,47,9,0,1,1,0,74946.395,1
153,716,Hyderabad,Male,41,8,0,2,1,0,90400.21,0
154,539,Bangalore,Male,36,2,63804.795,1,1,0,49323.11,0
155,614,Bangalore,Female,42,6,0,2,1,1,54520.765,0
156,706,Hyderabad,Male,56,7,0,1,1,0,8970.58,1
157,758,Bangalore,Female,32,7,0,2,0,0,41498.235,0
158,586,Hyderabad,Female,27,2,0,2,1,1,46033.675,0
159,646,Bangalore,Female,72,6,48629.625,1,0,1,52359.83,0
160,631,Chennai,Female,32,4,61623.35,1,0,0,56343.785,0
161,717,Hyderabad,Female,21,6,50530.125,1,0,1,42349.78,0
162,684,Bangalore,Male,29,2,0,2,1,0,41736.91,0
163,800,Bangalore,Female,48,7,54003.68,1,0,0,23562.555,0
164,721,Hyderabad,Female,35,2,0,2,1,1,53488.9,0
165,683,Hyderabad,Male,28,0,66851.445,1,1,0,27791.27,1
166,660,Chennai,Male,30,9,62594.875,2,1,1,69937.215,0
167,704,Chennai,Female,23,7,56517.11,1,1,0,81251.74,1
168,615,Hyderabad,Female,40,9,54506.615,1,1,0,98249.98,0
169,667,Hyderabad,Female,38,2,0,2,1,0,20360.62,1
170,682,Chennai,Male,23,9,28964.905,2,0,0,26567.15,0
171,484,Bangalore,Female,28,4,65057.195,1,1,0,82008.945,0
172,628,Chennai,Male,26,5,47913.245,2,1,0,77998.48,0
173,480,Chennai,Male,43,10,64804.285,1,1,0,2736.35,1
174,578,Bangalore,Male,29,4,84731.045,1,1,0,56093.555,0
175,512,Bangalore,Male,39,5,0,2,1,1,73228.915,0
176,484,Hyderabad,Female,34,7,66934.105,1,1,1,13643.05,0
177,510,Bangalore,Female,29,0,0,2,1,1,65276.735,0
178,606,Chennai,Male,35,5,95239.74,2,0,0,89675.945,0
179,597,Hyderabad,Female,39,8,50996.56,1,0,1,47387.06,0
180,754,Chennai,Female,54,3,80804.405,1,1,0,4040.425,1
181,850,Hyderabad,Female,44,2,61155.605,1,1,1,9741.25,0
182,510,Bangalore,Male,64,2,0,2,1,1,24035.805,0
183,778,Chennai,Female,44,1,81075.21,2,1,0,87265.635,0
184,636,Bangalore,Male,41,2,0,2,1,1,27735.39,0
185,804,Bangalore,Female,49,4,0,1,1,1,4273.435,1
186,514,Bangalore,Male,31,8,0,2,1,0,47928.59,0
187,730,Bangalore,Female,38,1,49505.335,1,1,0,97472.9,0
188,525,Hyderabad,Female,36,0,0,1,0,1,65760.86,0
189,616,Hyderabad,Male,29,5,0,2,0,1,98054.255,0
190,687,Chennai,Female,33,7,55694.09,2,1,0,74282.38,0
191,715,Bangalore,Female,40,8,28107.425,2,0,0,46491.305,1
192,512,Bangalore,Female,35,3,42163.885,2,1,0,8837.68,0
193,479,Bangalore,Male,39,1,0,2,0,0,57498.215,0
194,601,Bangalore,Male,31,8,46506.445,1,1,0,43478.71,0
195,580,Hyderabad,Male,28,9,30855.22,2,1,0,64038.9,0
196,807,Bangalore,Male,34,3,87395.075,1,1,1,300.18,0
197,616,Hyderabad,Female,31,6,0,2,1,1,21500.73,0
198,721,Chennai,Male,36,3,53860.32,1,1,1,79295.56,0
199,501,Bangalore,Male,56,10,0,2,1,1,23923.595,0
200,521,Bangalore,Male,34,6,48211.92,1,1,0,5244.22,0
201,850,Hyderabad,Male,29,2,70520.005,1,1,1,2989.1,0
202,759,Bangalore,Male,41,4,52710.09,1,0,1,60704.53,0
203,516,Hyderabad,Male,49,5,0,1,0,1,73072.965,1
204,711,Bangalore,Female,37,2,64511.03,2,1,1,7187.43,1
205,512,Hyderabad,Male,32,3,88333.31,1,1,0,47335.385,0
206,550,Bangalore,Male,36,3,0,1,1,1,89835.155,0
207,608,Hyderabad,Female,40,3,44881.92,1,0,0,99652.37,1
208,618,Bangalore,Male,33,5,67477.265,1,1,1,75977.195,0
209,643,Bangalore,Male,44,5,0,1,1,0,71256.75,1
210,671,Bangalore,Male,44,2,53188.425,1,0,1,79132.31,0
211,689,Chennai,Male,32,2,80907.32,2,1,0,84690.95,0
212,603,Bangalore,Male,30,8,0,2,1,1,84957.51,0
213,620,Bangalore,Female,40,9,0,2,0,0,44426.235,0
214,676,Bangalore,Female,33,1,31547.505,1,1,1,20322.905,0
215,572,Chennai,Male,25,4,59143.505,2,0,0,30213.65,0
216,668,Chennai,Male,46,7,53427.105,1,0,1,78979.51,1
217,695,Bangalore,Male,45,7,24756.275,1,1,0,66503.67,0
218,730,Hyderabad,Female,32,9,0,2,0,0,88288.31,0
219,807,Bangalore,Male,42,1,52899.66,2,1,0,17444.02,1
220,592,Bangalore,Male,53,8,0,1,1,1,14368.855,1
221,726,Bangalore,Female,30,9,57361.025,2,1,1,49089.285,0
222,514,Hyderabad,Male,29,7,0,1,0,1,62505.12,0
223,567,Bangalore,Male,41,2,0,2,1,1,83992.305,0
224,850,Bangalore,Male,32,10,0,1,1,0,2430.86,1
225,671,Chennai,Male,44,6,49782.11,1,1,1,54436.225,1
226,670,Bangalore,Male,36,4,85278.955,2,1,0,99126.44,0
227,694,Bangalore,Female,29,9,0,2,1,1,13480.155,0
228,547,Chennai,Female,38,6,37298.075,3,1,1,42873.26,1
229,751,Chennai,Male,49,2,48444.195,1,1,0,38603.125,1
230,594,Chennai,Female,28,3,65415.11,1,1,0,30524.265,0
231,673,Bangalore,Male,71,1,0,2,0,1,55990.595,0
232,610,Bangalore,Male,39,0,0,2,1,0,31116.3,0
233,512,Bangalore,Female,36,1,0,2,0,1,78052.515,0
234,767,Chennai,Male,19,3,59857.125,2,0,1,75067.69,0
235,585,Bangalore,Female,66,5,56989.485,2,0,1,46573.055,0
236,763,Chennai,Male,41,6,50080.375,1,1,0,16731.47,1
237,712,Bangalore,Female,28,2,0,1,1,1,72187.5,0
238,539,Chennai,Female,42,3,58110.25,3,1,0,27901.98,1
239,668,Bangalore,Female,45,2,0,3,1,0,44524.23,1
240,703,Bangalore,Male,27,2,40586.915,2,0,1,81406.08,0
241,662,Hyderabad,Male,37,4,0,2,1,0,68129.825,0
242,725,Chennai,Female,38,5,58401.9,1,1,0,62026.485,0
243,703,Bangalore,Male,36,8,52980.84,2,0,1,37079.4,0
244,659,Chennai,Male,66,6,58705.8,1,1,1,22535.545,1
245,523,Hyderabad,Male,33,7,0,2,1,0,31015.03,0
246,635,Bangalore,Female,39,10,61748.79,1,1,0,65976.615,1
247,772,Chennai,Male,25,7,76200.255,2,1,0,39707,0
248,545,Bangalore,Female,25,1,0,2,1,1,99819.28,0
249,634,Chennai,Male,23,8,51548.925,1,1,1,78788.645,0
250,739,Chennai,Male,53,8,63209.07,1,1,0,67210.375,1
251,771,Chennai,Female,35,5,38923.45,1,0,0,49902.995,0
252,587,Hyderabad,Female,33,1,0,2,1,1,48966.34,0
253,681,Bangalore,Female,78,0,0,2,0,1,85484.495,0
254,544,Chennai,Male,36,2,39865.955,1,1,1,28779.475,0
255,696,Hyderabad,Male,27,8,0,1,0,0,88356.735,0
256,766,Hyderabad,Male,40,0,0,2,0,1,17141.615,0
257,727,Bangalore,Male,33,10,0,2,1,1,99318.67,0
258,671,Chennai,Female,33,6,18633.335,2,0,0,78458.56,0
259,693,Bangalore,Female,29,6,63996.125,1,1,1,25228.6,0
260,850,Chennai,Male,37,3,27450.505,1,1,1,70037.775,0
261,732,Chennai,Male,41,9,54374.04,2,1,1,32661.555,0
262,726,Hyderabad,Female,47,6,49953.095,1,1,0,32161.62,0
263,557,Bangalore,Female,31,6,92343.205,2,1,0,7478.22,0
264,682,Bangalore,Female,25,0,55327.01,1,0,1,55939.605,0
265,738,Hyderabad,Male,30,9,39509.9,1,1,1,9303.115,0
266,531,Hyderabad,Female,35,9,49620.255,1,1,0,61568.505,0
267,498,Bangalore,Male,33,2,0,2,1,1,74264.12,0
268,651,Bangalore,Male,35,7,0,2,1,0,6949.155,0
269,549,Hyderabad,Female,38,7,0,1,0,0,40629.625,1
270,791,Chennai,Female,34,7,26218.1,1,1,0,80525.875,0
271,650,Hyderabad,Male,40,9,0,2,0,1,95799.835,0
272,733,Chennai,Male,33,3,50168.98,3,1,0,24279.595,1
273,811,Chennai,Female,33,1,74648.595,2,1,1,93169.87,0
274,707,Bangalore,Male,29,8,0,2,1,0,16579.685,0
275,712,Chennai,Male,27,4,72802.72,1,0,1,46941.765,0
276,706,Hyderabad,Female,36,7,0,2,1,1,55449.65,0
277,756,Bangalore,Male,61,3,0,1,1,1,5599.52,1
278,777,Bangalore,Female,52,10,0,2,1,0,94996.485,0
279,646,Bangalore,Male,34,6,42013.43,1,0,1,82127.845,0
280,714,Bangalore,Male,45,1,0,1,1,0,76083.895,1
281,782,Bangalore,Male,38,8,0,2,1,1,16974.835,0
282,775,Hyderabad,Male,28,10,0,2,1,1,34071.965,0
283,479,Chennai,Male,34,4,69359.46,1,1,1,23625.895,1
284,807,Bangalore,Male,41,7,59137.355,1,1,1,12942.86,0
285,799,Bangalore,Female,21,8,87092.99,2,0,1,96316.925,0
286,675,Bangalore,Male,39,7,56604.43,2,1,0,17288.68,0
287,602,Hyderabad,Male,28,5,51953.64,1,1,0,80614.92,0
288,475,Bangalore,Female,31,8,59511.64,1,1,0,50408.145,0
289,744,Hyderabad,Female,25,5,83148.945,1,1,1,90847.22,0
290,588,Hyderabad,Male,33,10,0,2,1,0,39539.455,0
291,703,Chennai,Male,41,9,31613.5,1,0,1,68658.16,0
292,747,Hyderabad,Female,40,5,47260.585,2,1,0,97463.43,0
293,583,Bangalore,Male,26,7,0,2,1,0,25642.745,0
294,750,Hyderabad,Female,33,9,56411.13,1,0,0,75200.765,1
295,681,Bangalore,Male,37,3,0,2,1,1,56245.98,0
296,773,Bangalore,Male,24,2,67951.665,1,1,0,36828.19,0
297,714,Bangalore,Female,30,4,62584.63,1,1,1,53318.445,0
298,687,Hyderabad,Female,43,7,0,3,1,0,77926.76,1
299,511,Bangalore,Male,57,0,74558.655,1,1,1,81299.755,0
300,627,Bangalore,Male,32,5,0,2,1,1,51868.91,0
301,694,Bangalore,Female,30,10,0,2,1,0,80495.135,0
302,616,Hyderabad,Female,35,6,66155.855,1,0,0,7731.42,0
303,687,Bangalore,Male,34,8,0,2,1,0,5167.025,0
304,712,Bangalore,Female,32,6,0,2,1,1,95343.08,0
305,553,Bangalore,Male,32,4,59041.445,1,0,0,47220.225,0
306,667,Bangalore,Male,30,1,59633.345,1,1,1,14128.815,0
307,731,Bangalore,Male,42,2,0,1,1,1,85017.475,1
308,629,Chennai,Male,34,7,78423.645,2,1,0,15912.145,0
309,614,Bangalore,Male,49,4,68552.235,1,1,0,63583.245,1
310,438,Chennai,Male,30,8,39199.345,1,1,0,22468.505,0
311,652,Bangalore,Female,79,4,0,2,1,1,94301.535,0
312,729,Chennai,Male,29,6,31834.71,1,1,0,72555.685,0
313,642,Bangalore,Male,37,3,0,2,0,0,85731.915,0
314,806,Chennai,Female,58,0,67648.165,1,1,0,91411.25,0
315,744,Hyderabad,Male,35,2,76902.22,1,1,1,43606.665,0
316,474,Hyderabad,Male,36,3,0,2,0,0,28587.66,0
317,559,Bangalore,Male,48,2,73534.89,1,1,0,60270.415,1
318,706,Hyderabad,Male,41,9,0,2,1,1,14357.17,0
319,628,Hyderabad,Female,21,3,0,1,1,0,42713.14,0
320,429,Bangalore,Male,23,4,47870.875,1,1,0,23085.375,0
321,525,Hyderabad,Female,56,2,72982.665,1,1,1,32224.18,0
